actividad_id,nombre,tipo,ciudad,precio
85,Visita a galerías de arte,Cultura,Melbourne,35000
86,Tour gastronómico,Gastronomía,Melbourne,33000
87,Bungee jumping,Aventura,Queenstown,75000
88,Recorrido en bote,Naturaleza,Queenstown,38000
89,Tour por volcanes,Naturaleza,Auckland,42000
90,Subida a Sky Tower,Entretenimiento,Auckland,38000
91,Buceo con tortugas,Aventura,Honolulu,55000
92,Clases de hula dance,Cultura,Honolulu,30000
93,Excursión a templos,Cultura,Bali,34000
94,Yoga frente al mar,Relax,Bali,37000
95,Paseo en barco,Entretenimiento,Phuket,36000
96,Snorkel en islas,Aventura,Phuket,42000
97,Recorrido por palacios reales,Cultura,Seúl,38000
98,Clase de cocina coreana,Gastronomía,Seúl,34000
99,Festival callejero,Entretenimiento,Seúl,31000
100,Visita a cafés temáticos,Curiosidad,Seúl,27000
101,Caminata por los Valles Calchaquíes,Aventura,Tucumán,40000
102,Visita a la Casa Histórica,Cultura,Tucumán,35000
103,Kayak en el Río Limay,Naturaleza,Neuquén,38000
104,Excursión al Cerro Catedral,Aventura,Bariloche,42000
105,Recorrido histórico por Salta,Cultura,Salta,37000
106,Senderismo en Cafayate,Aventura,Salta,36000
107,Visita a bodegas y viñedos,Gastronomía,Mendoza,33000
108,Tour por el Aconcagua,Aventura,Mendoza,45000
109,Recorrido por playas de Mar del Plata,Naturaleza,Mar del Plata,30000
110,Clases de surf,Deporte,Mar del Plata,35000
